,EJER,CCAA,PROV,SEXO,NACIONALIDAD,MODELO,M100_1,M100_2,M100_3,M100_4,M100_5,M100_6,M100_7,M100_8,M100_9,M100_10,M100_11,M100_12,M100_13,BIT,M100_15,M100_16,M100_17,M100_18,M100_19,M100_20,M100_21,M100_22,M100_23,M100_24,M100_25,M100_26,M100_27,Deduccion_donativos,M100_29,M100_30,M100_31,M100_32,M100_33,num_declarantes,M100_35
0,2022,Aragón,Zaragoza,Mujer,Extranjero,100,240224200.72,139233808.33,688541.9,47529.92,463256.86,872029.56,12177375.33,4231317.92,81823.47,1750628.08,4952656.76,159174279.29,5660972.98,164835252.27,154054013.01,5652392.86,158958474.06,141118400.0,105299550.0,32575300.0,267550.0,2976000.0,9843601.09,9889118.9,19732719.99,552332.35,1224.5,138378.34,32857.8,19005435.75,-1205120.38,-3415980.73,3283459.71,19668,18893
1,2022,Aragón,Zaragoza,Mujer,Nacional,100,5041430126.11,3986954577.46,175642802.62,2270116.23,56780084.15,106513326.11,222314530.16,19333906.1,13319235.29,13810954.0,200352031.73,4464727425.7,359836604.05,4824564029.75,4395904416.63,359570435.18,4752258507.71,1755689145.83,1415554500.0,222496600.0,1891045.83,115747000.0,451767238.3,455969365.52,907736603.82,21927123.7,129733.03,9423557.32,1317522.89,875475622.42,57613197.1,37734109.91,30076947.82,239425,234487
2,2022,Aragón,Zaragoza,Hombre,Nacional,100,7687303303.11,6634275907.41,244279623.4,3771916.95,64194158.29,103415496.8,476542249.28,33582536.16,42322616.3,17924591.72,255209599.65,7431527419.58,472636784.56,7904164204.14,7209530184.17,472042332.91,7676189885.45,2080211334.13,1680457750.0,241254400.0,1875084.53,156624099.6,816374627.64,828247713.62,1644622341.26,31785963.14,399237.16,10290143.12,1981441.11,1599496364.8,84688973.53,69828479.58,19789191.08,317648,271915
3,2022,Aragón,Zaragoza,Hombre,Extranjero,100,517403110.87,383400106.76,1508170.33,37571.37,598880.15,1103987.26,31963659.75,5992112.71,240041.09,2484145.35,1833875.78,426022389.35,3337254.31,429359643.66,407323967.17,3313580.71,409691876.2,218503575.0,159461600.0,54466300.0,212675.0,4363000.0,33739869.94,34211649.06,67951519.0,1019075.76,29092.42,203418.32,81158.56,66548846.27,5856680.3,4299785.89,3093142.29,33966,28575
4,2022,Andalucía,Sevilla,Mujer,Nacional,100,7791371239.29,5851710337.21,145053584.84,3161104.33,102852504.79,176992617.89,355644387.39,52032373.02,24666383.19,14144000.51,359246231.89,6648334876.48,489860205.5,7138195081.98,6526328729.93,489331629.16,7008102118.99,3198821988.26,2424245750.0,547432650.0,4139988.26,223003600.0,660794900.57,647443888.59,1308238789.16,29582909.85,1549420.53,11478900.1,6975357.49,1260028233.13,64049253.39,9039728.83,79652697.35,432838,414157
5,2022,Andalucía,Sevilla,Mujer,Extranjero,100,152360455.18,98078793.34,2505614.96,492745.72,587160.31,2083732.35,13672357.98,6360881.36,31719.01,417020.41,5329615.31,121910747.5,7724555.89,129635303.39,118855405.0,7712944.31,126252923.08,86091768.33,64996850.0,19049850.0,150568.33,1894500.0,12219315.91,11854618.82,24073934.73,221068.92,1050.0,98609.94,160901.82,23127290.64,846716.0,-671786.73,2117536.19,12256,11596
6,2022,Andalucía,Sevilla,Hombre,Nacional,100,11994134333.55,9860661621.18,251762456.19,5471396.76,126042153.74,163521342.81,845732261.99,87672503.38,48384016.36,18434807.0,451152084.66,11231886355.43,680364275.95,11912250631.38,10786333898.54,679295247.53,11450801329.96,3889853499.9,2949739600.0,631176600.0,4854049.9,304083250.0,1182083862.02,1157438545.7,2339522407.72,49627757.23,3274847.65,14565821.74,8829737.32,2262594484.19,67410492.17,22591401.67,60339329.27,604681,495421
7,2022,Andalucía,Sevilla,Hombre,Extranjero,100,346834556.89,273424493.73,8670321.91,156390.2,905659.76,2312379.04,28325082.31,8243520.75,77528.92,642278.22,108646097.79,314232546.73,116936117.8,431168664.53,306224328.37,116914087.61,422495424.49,112418200.0,84091400.0,25569800.0,109500.0,2647500.0,59839388.94,57494369.96,117333758.9,324397.96,20584.6,221200.08,191006.54,114189207.05,30344905.96,29402640.48,1439555.8,17374,14978
8,2022,Castilla y León,Segovia,Hombre,Extranjero,100,59772831.69,42232582.65,147011.46,1553.08,75659.21,115280.77,4027834.88,771587.99,226211.26,544895.44,180539.65,48229305.2,298125.48,48527430.68,45522285.34,298120.04,45713883.87,29609700.0,20802300.0,7824300.0,23100.0,960000.0,2979082.2,2891864.38,5870946.58,146191.46,5363.04,21635.98,222590.06,5466284.69,-675587.97,-923499.47,583474.02,4497,3724
9,2022,Castilla y León,Segovia,Hombre,Nacional,100,974168840.92,814347971.99,24221318.43,534932.8,13019500.51,17503852.89,100550952.01,9272542.6,9819787.81,2111091.82,33518002.0,991146016.69,54998873.55,1046144890.24,956040185.58,54876947.12,1009236696.52,323943850.0,261284300.0,37072200.0,263350.0,25324000.0,99556010.34,96607408.43,196163418.77,4399063.56,116843.13,1144789.84,1483681.46,189121527.93,9185761.21,6739163.87,3413066.41,49972,42158
