EJER,BIT,Deduccion_donativos,num_declarantes,Porcentaje_DD_BIT,BIT_media,Deduccion_donativos_media
2009,403015.80248156,175.29365957,23.210933,0.04349548044782203,17363.19,7.55
2010,389941.77998289996,189.64980322,23.018053,0.04863541506845372,16940.69,8.24
2011,392430.75005794,197.78813647,23.160483,0.05040077426164942,16943.98,8.54
2012,373494.75343890005,204.1278535,23.025775,0.05465347280531297,16220.72,8.87
2013,369950.3254942,211.70237778999999,22.802059,0.05722454156708642,16224.43,9.28
2014,375044.95632201,221.491025,22.907717,0.05905719334879682,16371.99,9.67
2015,392219.53585187,341.57336868,22.942875,0.08708729103412186,17095.48,14.89
2016,407197.24933765,480.54027167000004,23.006117,0.11801166939404682,17699.52,20.89
2017,426519.68126474,517.03367758,23.155025,0.1212215286401,18420.18,22.33
2018,450539.62581927003,539.89646705,23.696572,0.11983329236984243,19012.86,22.78
2019,467321.82332218,569.50173448,23.900137,0.12186499882060405,19553.1,23.83
2020,465054.90092920995,645.0459616100001,24.430537,0.13870318543491453,19035.8,26.4
2021,502047.04898313,662.68172545,24.696889,0.13199594077730906,20328.35,26.83
2022,554914.21465544,703.87608649,25.455149,0.12684412615507681,21799.68,27.65
