EJER;CCAA;PROV;SEXO;NACIONALIDAD;MODELO;M100_1;M100_2;M100_3;M100_4;M100_5;M100_6;M100_7;M100_8;M100_9;M100_10;M100_11;M100_12;M100_13;M100_14;M100_15;M100_16;M100_17;M100_18;M100_19;M100_20;M100_21;M100_22;M100_23;M100_24;M100_25;M100_26;M100_27;M100_28;M100_29;M100_30;M100_31;M100_32;M100_33;M100_34;M100_35
2022;2;50;2;1;100;240224200,720000;139233808,330000;688541,900000;47529,920000;463256,860000;872029,560000;12177375,330000;4231317,920000;81823,470000;1750628,080000;4952656,760000;159174279,290000;5660972,980000;164835252,270000;154054013,010000;5652392,860000;158958474,060000;141118400,000000;105299550,000000;32575300,000000;267550,000000;2976000,000000;9843601,090000;9889118,900000;19732719,990000;552332,350000;1224,500000;138378,340000;32857,800000;19005435,750000;-1205120,380000;-3415980,730000;3283459,710000;19668;18893
2022;2;50;2;0;100;5041430126,110000;3986954577,460000;175642802,620000;2270116,230000;56780084,150000;106513326,110000;222314530,160000;19333906,100000;13319235,290000;13810954,000000;200352031,730000;4464727425,700000;359836604,050000;4824564029,750000;4395904416,630000;359570435,180000;4752258507,710000;1755689145,830000;1415554500,000000;222496600,000000;1891045,830000;115747000,000000;451767238,300000;455969365,520000;907736603,820000;21927123,700000;129733,030000;9423557,320000;1317522,890000;875475622,420000;57613197,100000;37734109,910000;30076947,820000;239425;234487
2022;2;50;1;0;100;7687303303,110000;6634275907,410000;244279623,400000;3771916,950000;64194158,290000;103415496,800000;476542249,280000;33582536,160000;42322616,300000;17924591,720000;255209599,650000;7431527419,580000;472636784,560000;7904164204,140000;7209530184,170000;472042332,910000;7676189885,450000;2080211334,130000;1680457750,000000;241254400,000000;1875084,530000;156624099,600000;816374627,640000;828247713,620000;1644622341,260000;31785963,140000;399237,160000;10290143,120000;1981441,110000;1599496364,800000;84688973,530000;69828479,580000;19789191,080000;317648;271915
2022;2;50;1;1;100;517403110,870000;383400106,760000;1508170,330000;37571,370000;598880,150000;1103987,260000;31963659,750000;5992112,710000;240041,090000;2484145,350000;1833875,780000;426022389,350000;3337254,310000;429359643,660000;407323967,170000;3313580,710000;409691876,200000;218503575,000000;159461600,000000;54466300,000000;212675,000000;4363000,000000;33739869,940000;34211649,060000;67951519,000000;1019075,760000;29092,420000;203418,320000;81158,560000;66548846,270000;5856680,300000;4299785,890000;3093142,290000;33966;28575
2022;1;41;2;0;100;7791371239,290000;5851710337,210000;145053584,840000;3161104,330000;102852504,790000;176992617,890000;355644387,390000;52032373,020000;24666383,190000;14144000,510000;359246231,890000;6648334876,480000;489860205,500000;7138195081,980000;6526328729,930000;489331629,160000;7008102118,990000;3198821988,260000;2424245750,000000;547432650,000000;4139988,260000;223003600,000000;660794900,570000;647443888,590000;1308238789,160000;29582909,850000;1549420,530000;11478900,100000;6975357,490000;1260028233,130000;64049253,390000;9039728,830000;79652697,350000;432838;414157
2022;1;41;2;1;100;152360455,180000;98078793,340000;2505614,960000;492745,720000;587160,310000;2083732,350000;13672357,980000;6360881,360000;31719,010000;417020,410000;5329615,310000;121910747,500000;7724555,890000;129635303,390000;118855405,000000;7712944,310000;126252923,080000;86091768,330000;64996850,000000;19049850,000000;150568,330000;1894500,000000;12219315,910000;11854618,820000;24073934,730000;221068,920000;1050,000000;98609,940000;160901,820000;23127290,640000;846716,000000;-671786,730000;2117536,190000;12256;11596
2022;1;41;1;0;100;11994134333,550000;9860661621,180000;251762456,190000;5471396,760000;126042153,740000;163521342,810000;845732261,990000;87672503,380000;48384016,360000;18434807,000000;451152084,660000;11231886355,430000;680364275,950000;11912250631,380000;10786333898,540000;679295247,530000;11450801329,960000;3889853499,900000;2949739600,000000;631176600,000000;4854049,900000;304083250,000000;1182083862,020000;1157438545,700000;2339522407,720000;49627757,230000;3274847,650000;14565821,740000;8829737,320000;2262594484,190000;67410492,170000;22591401,670000;60339329,270000;604681;495421
2022;1;41;1;1;100;346834556,890000;273424493,730000;8670321,910000;156390,200000;905659,760000;2312379,040000;28325082,310000;8243520,750000;77528,920000;642278,220000;108646097,790000;314232546,730000;116936117,800000;431168664,530000;306224328,370000;116914087,610000;422495424,490000;112418200,000000;84091400,000000;25569800,000000;109500,000000;2647500,000000;59839388,940000;57494369,960000;117333758,900000;324397,960000;20584,600000;221200,080000;191006,540000;114189207,050000;30344905,960000;29402640,480000;1439555,800000;17374;14978
2022;7;40;1;1;100;59772831,690000;42232582,650000;147011,460000;1553,080000;75659,210000;115280,770000;4027834,880000;771587,990000;226211,260000;544895,440000;180539,650000;48229305,200000;298125,480000;48527430,680000;45522285,340000;298120,040000;45713883,870000;29609700,000000;20802300,000000;7824300,000000;23100,000000;960000,000000;2979082,200000;2891864,380000;5870946,580000;146191,460000;5363,040000;21635,980000;222590,060000;5466284,690000;-675587,970000;-923499,470000;583474,020000;4497;3724
2022;7;40;1;0;100;974168840,920000;814347971,990000;24221318,430000;534932,800000;13019500,510000;17503852,890000;100550952,010000;9272542,600000;9819787,810000;2111091,820000;33518002,000000;991146016,690000;54998873,550000;1046144890,240000;956040185,580000;54876947,120000;1009236696,520000;323943850,000000;261284300,000000;37072200,000000;263350,000000;25324000,000000;99556010,340000;96607408,430000;196163418,770000;4399063,560000;116843,130000;1144789,840000;1483681,460000;189121527,930000;9185761,210000;6739163,870000;3413066,410000;49972;42158
